CRONOGRAMA DE PAGAMENTOS - CRÉDITO CONSIGNADO

Valor do Crédito:,"R$ 28,000.00"
Prazo:,36 meses
Taxa Anual:,16.08%
CET:,16.08% a.a.
Parcela Mensal:,R$ 970.68

Parcela,Vencimento,Principal (R$),Juros (R$),Total (R$),Saldo Devedor (R$),Status
1,2026-03-15,620.59,350.09,970.68,27379.41,pendente
2,2026-04-14,628.35,342.33,970.68,26751.06,pendente
3,2026-05-14,636.20,334.48,970.68,26114.86,pendente
4,2026-06-13,644.16,326.52,970.68,25470.70,pendente
5,2026-07-13,652.21,318.47,970.68,24818.49,pendente
6,2026-08-12,660.37,310.31,970.68,24158.12,pendente
7,2026-09-11,668.62,302.06,970.68,23489.50,pendente
8,2026-10-11,676.98,293.70,970.68,22812.52,pendente
9,2026-11-10,685.45,285.23,970.68,22127.07,pendente
10,2026-12-10,694.02,276.66,970.68,21433.05,pendente
11,2027-01-09,702.70,267.98,970.68,20730.35,pendente
12,2027-02-08,711.48,259.20,970.68,20018.87,pendente
13,2027-03-10,720.38,250.30,970.68,19298.49,pendente
14,2027-04-09,729.39,241.29,970.68,18569.10,pendente
15,2027-05-09,738.50,232.18,970.68,17830.60,pendente
16,2027-06-08,747.74,222.94,970.68,17082.86,pendente
17,2027-07-08,757.09,213.59,970.68,16325.77,pendente
18,2027-08-07,766.55,204.13,970.68,15559.22,pendente
19,2027-09-06,776.14,194.54,970.68,14783.08,pendente
20,2027-10-06,785.84,184.84,970.68,13997.24,pendente
21,2027-11-05,795.67,175.01,970.68,13201.57,pendente
22,2027-12-05,805.62,165.06,970.68,12395.95,pendente
23,2028-01-04,815.69,154.99,970.68,11580.26,pendente
24,2028-02-03,825.89,144.79,970.68,10754.37,pendente
25,2028-03-04,836.21,134.47,970.68,9918.16,pendente
26,2028-04-03,846.67,124.01,970.68,9071.49,pendente
27,2028-05-03,857.26,113.42,970.68,8214.23,pendente
28,2028-06-02,867.97,102.71,970.68,7346.26,pendente
29,2028-07-02,878.83,91.85,970.68,6467.43,pendente
30,2028-08-01,889.82,80.86,970.68,5577.61,pendente
31,2028-08-31,900.94,69.74,970.68,4676.67,pendente
32,2028-09-30,912.21,58.47,970.68,3764.46,pendente
33,2028-10-30,923.61,47.07,970.68,2840.85,pendente
34,2028-11-29,935.16,35.52,970.68,1905.69,pendente
35,2028-12-29,946.85,23.83,970.68,958.84,pendente
36,2029-01-28,958.84,11.99,970.68,0.00,pendente

TOTAIS,,28000.00,6944.48,34944.48,,
