PROJEÇÃO MENSAL - INVESTIMENTO CDB

Valor Investido:,"R$ 85,000.00"
Prazo:,18 meses
Taxa Anual:,12.00%
Rendimento Líquido Total:,"R$ 12,993.92"

Mês,Data,Saldo Bruto (R$),Rendimento Bruto (R$),Taxa Retorno (%),Alíquota IR (%),Rendimento Líquido (R$),Saldo Líquido (R$)
1,2026-03-15,85806.55,806.55,0.95,22.5,625.08,85625.08
2,2026-04-14,86620.75,1620.75,1.91,22.5,1256.08,86256.08
3,2026-05-14,87442.67,2442.67,2.87,22.5,1893.07,86893.07
4,2026-06-13,88272.40,3272.40,3.85,22.5,2536.11,87536.11
5,2026-07-13,89110.00,4110.00,4.84,22.5,3185.25,88185.25
6,2026-08-12,89955.54,4955.54,5.83,22.5,3840.54,88840.54
7,2026-09-11,90809.11,5809.11,6.83,20.0,4647.29,89647.29
8,2026-10-11,91670.78,6670.78,7.85,20.0,5336.62,90336.62
9,2026-11-10,92540.63,7540.63,8.87,20.0,6032.50,91032.50
10,2026-12-10,93418.73,8418.73,9.90,20.0,6734.98,91734.98
11,2027-01-09,94305.16,9305.16,10.95,20.0,7444.13,92444.13
12,2027-02-08,95200.00,10200.00,12.00,20.0,8160.00,93160.00
13,2027-03-10,96103.33,11103.33,13.06,17.5,9160.25,94160.25
14,2027-04-09,97015.24,12015.24,14.14,17.5,9912.57,94912.57
15,2027-05-09,97935.80,12935.80,15.22,17.5,10672.03,95672.03
16,2027-06-08,98865.09,13865.09,16.31,17.5,11438.70,96438.70
17,2027-07-08,99803.20,14803.20,17.42,17.5,12212.64,97212.64
18,2027-08-07,100750.21,15750.21,18.53,17.5,12993.92,97993.92
