ORÇAMENTO FINANCEIRO CONSOLIDADO
Data de Geração:,2026-02-13 19:01:35

PERFIL DO CLIENTE
Renda Líquida Mensal:,"R$ 9,500.00"
Margem Consignável:,22%
Margem Disponível:,"R$ 2,090.00"
Perfil de Investidor:,moderado

CRÉDITO CONSIGNADO
Valor do Crédito:,"R$ 28,000.00"
Prazo:,36 meses
Taxa Anual:,16.08%
Parcela Mensal:,R$ 970.68
Total de Juros:,"R$ 6,944.48"
CET:,16.08% a.a.
Uso da Margem:,46.4%

INVESTIMENTO CDB
Valor Investido:,"R$ 85,000.00"
Prazo:,18 meses
Taxa Anual:,12.00%
Rendimento Líquido Total:,"R$ 12,993.92"
Rendimento Médio Mensal:,R$ 721.88
Proteção FGC:,"Sim - até R$ 250.000,00"

VISÃO CONSOLIDADA
Custo Total do Crédito:,"R$ 6,944.48"
Retorno Total do Investimento:,"R$ 12,993.92"
Benefício Financeiro Líquido:,"R$ 6,049.44"
Impacto Mensal Líquido:,R$ 248.80

MÉTRICAS DE RISCO
Probabilidade de Inadimplência (PD):,2.50%
Perda Dado Default (LGD):,55.00%
Perda Esperada:,1.38%
Spread Líquido:,4.20 p.p.

METAS DE PERFORMANCE
Taxa de Conversão:,20%
Retenção 90 Dias:,98%
NPS:,75
